,building_id,age,area_percentage,height_percentage,land_surface_condition,foundation_type,position,plan_configuration,has_superstructure_adobe_mud,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_other,damage_grade
35,903120,25,5,4,t,r,t,d,0,0,0,0,0,0,0,3
36,864809,0,9,8,t,r,s,d,0,0,0,0,0,0,0,1
37,252816,0,10,7,t,r,t,d,0,0,0,0,0,0,0,3
38,33651,40,5,7,t,r,s,d,0,0,0,0,0,0,0,3
39,90130,0,9,4,t,r,s,d,0,0,0,0,0,0,0,2
40,306024,20,8,5,t,r,s,q,0,1,0,0,0,0,0,2
41,677028,30,3,5,t,u,s,d,1,0,0,0,1,0,0,2
42,833827,70,16,7,t,r,s,d,0,0,0,0,1,0,0,3
43,180267,20,5,5,t,r,s,d,0,0,0,0,0,0,0,2
44,1005736,10,5,5,t,r,s,d,0,0,0,0,0,0,0,2
45,440102,5,11,3,n,i,t,d,0,0,0,0,0,0,0,1
46,132583,15,7,5,n,w,s,d,0,0,0,0,1,0,0,2
47,362494,15,10,5,t,r,s,d,0,0,0,0,0,0,0,2
48,987864,20,7,4,t,r,s,d,0,0,0,0,0,0,0,3
49,402996,0,15,3,n,u,s,d,0,0,0,0,0,0,1,1
50,871517,10,7,5,t,w,s,d,0,0,0,0,1,0,0,2
51,877361,30,11,5,t,r,s,d,0,1,0,0,0,0,0,2
52,605460,10,6,6,t,r,t,d,0,0,0,0,0,0,0,2
53,288541,0,12,3,t,i,t,d,0,0,0,0,0,0,0,1
54,893477,25,3,5,t,r,s,d,0,0,0,0,0,0,0,3
55,135600,10,6,5,t,r,s,d,0,0,0,0,0,0,0,3
56,987565,30,5,2,n,r,s,d,0,0,0,0,0,0,0,3
57,552720,45,10,5,n,r,s,u,0,0,0,0,0,0,0,2
58,624119,25,6,5,n,r,s,d,1,0,0,1,1,0,0,3
59,302199,20,7,6,t,r,s,d,0,0,0,0,0,0,0,2
60,961851,10,13,9,t,r,t,d,0,0,0,0,0,0,0,2
61,1044113,5,5,5,t,r,t,d,0,0,0,0,1,0,1,2
62,270811,20,15,7,t,r,s,d,0,0,0,0,0,0,0,2
63,767109,0,16,2,t,r,s,d,0,0,0,0,1,0,0,3
64,415067,10,14,3,t,r,t,d,0,0,0,0,0,0,0,2
65,439999,15,10,4,t,i,t,d,0,0,0,0,0,0,0,2
66,799678,60,9,8,t,r,o,d,0,0,0,1,0,0,0,2
67,648002,5,9,3,t,u,s,d,0,0,0,0,1,0,0,2
68,388581,45,10,8,n,r,s,d,0,0,0,0,1,0,0,3
69,612701,15,7,7,t,r,t,d,0,0,0,0,0,0,0,3
70,591993,30,8,6,t,r,t,d,0,0,0,0,0,0,0,3
71,708530,0,17,3,t,i,s,d,0,0,0,0,0,0,0,2
72,645774,10,6,7,n,r,s,d,0,0,0,0,0,0,0,3
73,907445,35,7,6,t,r,s,d,0,0,0,0,0,0,0,2
74,483230,25,9,8,t,r,j,d,0,0,0,0,1,0,0,2
75,1041381,5,3,4,t,r,s,d,0,0,0,0,0,0,0,2
76,425720,0,5,7,t,w,s,d,0,0,0,0,1,1,0,1
77,426951,5,4,5,t,r,s,d,0,0,0,0,0,0,0,2
78,732884,20,7,7,t,r,s,d,0,0,0,0,0,0,0,2
79,206961,0,3,5,t,r,s,d,0,0,0,0,1,0,0,3
80,529881,35,8,5,t,r,s,d,0,0,0,0,1,0,0,2
81,118711,40,9,4,t,r,s,d,0,0,0,0,0,0,0,2
82,965807,20,9,5,t,r,t,d,0,0,0,0,0,0,0,3
83,928851,10,5,6,t,r,s,d,0,0,0,0,1,0,0,2
84,603867,35,7,8,n,r,s,d,0,0,0,0,0,0,0,3
85,67684,50,10,7,t,r,s,d,1,0,0,1,1,1,0,3
86,361363,10,6,5,t,w,s,d,0,0,0,0,0,0,0,2
87,645772,35,6,6,t,r,s,d,0,0,0,0,1,0,0,3
88,931198,5,5,3,t,u,j,d,0,0,1,0,0,0,0,2
89,250898,5,11,7,n,r,s,d,0,0,0,0,0,0,0,3
90,351011,70,11,6,t,r,s,d,0,0,0,1,1,0,0,2
91,852077,20,6,8,t,r,s,d,0,0,0,0,0,0,0,3
92,262843,30,14,4,t,r,t,d,0,0,0,0,0,0,0,2
93,311370,10,6,5,t,r,s,d,0,0,0,0,0,0,0,3
94,722503,5,5,6,t,r,s,d,0,0,0,0,0,0,0,3
95,551423,15,8,4,t,r,s,d,0,0,0,0,0,0,0,3
96,511997,35,7,3,t,r,s,d,0,0,0,0,0,0,0,3
97,266161,10,8,3,n,r,s,d,0,0,0,0,0,0,0,2
98,643474,0,5,6,t,r,s,d,0,0,0,0,0,0,0,3
99,697129,0,12,6,t,r,s,d,0,0,0,0,0,0,0,2
100,623033,0,13,5,t,r,s,d,0,0,0,0,1,1,0,2
101,601975,15,8,5,t,r,s,d,0,0,0,0,0,0,0,2
102,95369,25,6,6,t,r,s,d,0,0,0,0,1,0,0,2
103,96470,10,8,7,n,r,s,d,0,1,0,0,0,0,0,2
104,834001,10,21,4,n,r,s,d,0,0,0,0,0,0,0,2
105,820425,30,6,8,t,r,t,d,1,0,0,1,0,0,0,2
106,627034,50,4,2,t,r,s,d,0,0,0,0,0,0,0,2
107,71947,5,9,5,t,r,s,d,0,0,0,0,1,0,0,2
108,635262,0,37,3,t,r,s,d,0,0,0,0,0,0,0,1
109,792665,15,6,5,t,r,s,d,0,0,0,0,0,0,0,2
110,677652,10,10,6,t,r,s,d,0,1,0,0,1,0,0,3
111,402299,20,4,7,t,r,s,d,0,0,0,0,0,0,0,2
112,843295,30,7,8,t,r,t,d,0,0,0,0,0,0,0,2
113,871860,30,6,10,t,r,o,d,0,0,0,1,0,0,0,2
114,533100,0,14,7,t,i,t,u,0,0,0,0,0,0,0,1
115,790140,0,5,2,t,w,s,d,0,0,0,0,1,1,0,2
116,170270,40,6,5,n,r,t,d,1,0,0,1,1,0,0,3
117,550121,10,11,6,t,r,s,d,0,0,0,0,0,0,0,2
118,32048,10,6,5,t,r,s,d,0,0,0,0,0,0,0,3
119,605667,5,6,5,t,r,s,d,0,0,0,0,1,1,0,2
120,824847,60,3,10,t,r,j,d,0,0,0,1,0,0,0,2
121,799967,10,3,5,t,r,s,d,0,1,0,0,0,0,0,3
122,550067,15,9,7,t,r,s,d,0,0,0,0,0,0,0,2
123,187320,15,6,5,t,r,s,d,0,0,0,0,1,0,0,2
124,767971,65,9,7,t,r,t,d,0,0,0,0,1,1,0,2
125,591587,25,4,6,t,r,t,d,0,0,0,0,0,0,0,3
126,358906,0,4,4,n,r,s,d,0,0,0,0,0,0,0,2
127,247133,10,5,5,t,r,s,d,0,0,0,0,0,0,0,2
128,718071,20,8,5,t,r,s,d,0,0,0,0,0,0,0,2
129,663374,15,6,6,t,r,s,d,0,0,0,0,0,0,0,2
130,849622,10,8,3,t,r,s,d,0,0,0,0,0,0,0,2
131,902337,25,8,4,t,r,s,d,0,1,0,0,1,0,0,3
132,124969,5,7,6,t,w,s,d,0,0,0,0,1,1,0,2
133,402491,25,11,4,t,r,s,d,0,0,0,0,1,0,0,3
134,714885,15,7,6,t,r,s,d,0,0,0,0,0,0,0,3
135,1009839,10,4,5,n,w,s,d,0,0,0,0,1,1,0,2
136,93340,60,11,5,n,r,s,d,0,1,0,1,1,1,0,3
137,656607,5,6,5,n,r,s,d,1,0,0,0,0,0,0,2
138,719281,60,10,3,t,r,s,d,1,0,0,1,1,1,0,2
139,563429,20,11,5,t,r,s,d,0,0,0,0,1,0,0,2
140,958524,10,14,6,t,w,o,d,0,0,0,0,1,1,0,2
141,295363,10,11,3,t,r,j,d,0,0,0,0,0,0,0,1
142,910378,30,6,7,t,r,s,d,0,0,0,0,0,0,0,2
143,238065,15,7,6,t,r,s,d,0,0,0,0,0,0,0,2
144,301655,55,11,10,t,r,t,d,0,0,0,0,1,1,0,2
145,712335,20,16,5,t,r,t,d,0,0,0,0,0,0,0,3
146,569370,0,4,5,t,r,s,d,0,0,0,0,0,0,0,2
147,954281,20,7,5,t,r,s,d,0,0,0,0,0,0,0,3
148,760600,20,5,5,t,r,s,d,0,0,0,0,1,0,0,2
149,618331,0,3,6,t,r,t,d,0,0,0,0,0,0,0,3
150,932074,20,19,6,t,r,s,d,0,0,0,0,1,0,0,2
151,86370,35,6,4,n,r,s,d,0,0,0,0,0,0,0,3
152,890803,15,2,4,t,w,t,d,0,0,0,0,0,0,0,2
153,996541,10,7,4,t,w,s,d,0,0,0,0,0,1,0,2
154,699254,30,11,5,t,r,s,d,1,0,0,0,0,0,0,3
155,294469,10,15,6,t,r,t,d,0,0,0,0,1,1,0,2
156,543292,15,5,5,t,r,t,d,0,0,0,0,0,0,0,2
157,852187,20,5,3,t,r,t,d,0,0,0,0,0,0,0,3
158,187122,25,8,4,t,r,s,d,0,0,0,0,1,0,0,2
159,913994,45,9,7,t,r,s,d,0,0,1,0,0,0,0,2
160,456795,20,21,5,t,r,s,d,0,0,0,0,0,0,0,3
161,838913,15,6,6,t,r,s,d,0,0,0,0,1,1,0,2
162,731999,15,6,2,t,r,s,d,0,0,0,0,0,0,0,3
163,377912,5,3,3,t,r,t,d,0,0,0,0,0,0,0,3
164,60500,5,8,5,t,w,s,d,0,0,0,0,1,0,0,2
165,325898,20,6,5,t,r,s,d,0,0,0,0,1,0,0,2
166,670184,15,28,7,t,r,j,d,1,0,0,0,0,0,0,2
167,638140,50,4,2,t,r,s,d,0,0,0,0,1,0,0,3
168,445215,25,17,4,t,i,s,d,0,0,0,0,0,0,0,3
169,212481,0,7,5,t,r,s,d,0,0,0,0,0,0,0,2
170,964939,15,16,8,t,r,s,d,0,0,0,0,0,0,0,2
171,304846,25,7,7,t,r,s,d,0,0,0,0,0,0,0,2
172,907103,10,6,5,t,r,s,d,0,0,0,0,1,0,0,3
173,757178,30,3,6,o,r,t,d,0,0,0,0,0,0,0,3
174,681221,30,3,6,t,r,s,d,1,0,0,0,0,0,0,3
175,443607,15,5,6,t,r,s,d,0,0,0,0,0,0,0,3
176,561297,15,13,7,t,r,s,d,1,0,0,1,0,0,0,2
177,475461,25,9,4,t,w,s,d,0,0,0,0,1,1,0,2
178,933242,0,3,4,n,h,s,d,0,0,0,0,1,0,0,1
179,206779,30,8,5,t,r,t,d,0,0,0,0,0,0,0,3
180,855142,35,11,6,t,r,s,d,1,0,0,0,1,0,0,2
181,745413,10,4,3,t,r,s,d,0,0,0,0,1,0,0,3
182,76950,30,4,3,t,r,s,d,0,0,0,0,1,0,0,1
183,358013,45,9,5,t,r,s,d,0,0,0,0,0,0,0,1
184,891578,10,6,5,t,r,s,d,0,0,0,0,0,0,0,2
185,492867,15,9,8,t,r,s,d,0,0,0,0,0,0,0,3
186,261907,15,12,6,t,r,s,d,0,0,0,0,0,0,0,3
187,213830,20,2,32,t,r,t,d,0,0,0,0,0,0,0,3
188,911759,10,8,6,o,r,s,d,0,0,0,0,0,0,0,3
189,798975,15,7,4,n,r,t,d,0,0,0,0,0,0,0,3
190,509749,0,11,5,t,u,s,d,0,0,0,0,0,0,0,1
191,959512,20,7,7,t,r,s,d,0,0,0,0,0,0,0,2
192,512910,0,6,6,t,w,s,d,0,0,0,0,1,0,0,1
193,117590,60,5,8,t,r,j,d,1,0,0,0,0,0,0,3
194,566185,0,7,6,t,w,s,d,0,0,0,0,1,0,0,1
195,441023,25,7,5,n,r,s,d,0,0,0,0,0,0,0,3
196,225834,15,7,6,t,r,t,d,0,0,0,0,0,0,0,2
197,504208,0,15,8,t,r,s,d,0,0,0,0,1,1,0,3
198,692192,10,3,6,t,r,s,d,0,0,0,0,0,0,0,3
199,146670,5,38,5,o,r,s,d,0,0,0,0,1,1,0,2
200,838647,10,8,5,t,r,t,d,0,1,0,0,1,1,0,2
201,415919,30,9,7,t,r,s,d,0,0,0,0,0,0,0,2
202,150733,40,9,7,t,r,t,d,1,0,0,1,0,0,0,3
203,930554,15,4,3,n,r,s,d,0,0,0,0,1,0,0,2
204,687280,20,3,7,t,r,t,d,0,0,0,0,0,0,0,3
205,38340,30,14,8,t,r,s,d,0,0,0,1,1,0,0,2
206,542385,20,5,5,t,r,s,d,0,0,0,0,1,1,0,2
207,158901,30,5,7,t,r,s,d,0,0,0,0,0,0,0,3
208,1025864,25,4,5,t,r,s,d,0,1,0,0,1,0,0,2
209,939805,10,8,5,t,r,s,d,0,0,0,0,1,0,0,2
210,794193,10,6,5,n,r,s,d,0,0,0,0,0,0,0,2
211,1015061,10,7,12,t,u,j,d,0,0,0,0,0,0,0,2
212,433188,20,7,7,t,r,s,d,0,0,0,0,0,0,0,2
213,879546,30,5,7,t,r,t,d,0,0,0,1,1,0,0,3
214,29061,5,4,7,t,r,t,d,0,0,0,0,0,0,0,2
215,331971,10,6,3,t,w,s,d,0,0,0,0,1,1,0,1
216,612661,100,12,11,t,r,j,d,0,0,0,1,0,0,0,2
217,497383,25,11,5,t,r,s,d,0,0,0,0,1,0,0,2
218,385806,10,4,6,o,r,t,d,0,0,0,0,0,0,0,3
219,103441,10,6,7,t,r,s,d,0,0,0,0,0,0,0,3
220,184776,30,4,4,n,r,s,d,0,0,0,0,0,0,0,3
221,703296,15,4,4,t,r,s,q,0,0,0,1,0,0,0,2
222,599025,15,4,4,n,r,s,d,0,0,0,0,0,0,0,2
223,419957,5,8,7,n,r,s,d,0,0,0,0,0,0,0,2
224,116876,20,8,6,t,r,s,d,1,0,0,0,0,0,0,3
225,515935,5,9,5,t,r,s,d,0,0,0,0,0,0,0,2
226,122112,15,8,7,t,i,j,d,0,0,1,0,0,0,0,2
227,910366,10,5,6,t,w,s,d,0,0,0,0,0,1,0,2
228,168711,75,6,5,t,r,t,d,0,0,0,0,0,0,0,2
229,343093,20,4,4,o,r,s,d,0,0,0,0,0,0,0,2
230,580903,30,56,6,t,i,j,d,0,0,0,0,0,0,0,2
231,698124,0,1,5,t,r,s,d,0,0,0,0,1,0,0,2
232,633219,20,8,10,n,r,s,d,0,0,0,0,0,0,0,2
233,866259,0,6,2,t,w,s,q,0,0,0,0,0,0,0,1
234,542830,0,13,6,n,r,s,d,0,0,0,0,0,0,0,2
235,586356,60,9,5,t,r,j,q,0,0,0,0,0,0,0,3
236,273988,0,11,5,o,r,s,d,0,0,0,0,1,0,0,2
237,1048981,20,4,5,t,r,s,d,0,0,0,0,1,0,0,2
238,337221,5,8,5,t,r,s,d,0,0,0,0,0,0,0,2
239,921736,10,13,5,n,w,s,d,0,0,0,0,1,0,0,1
240,884288,15,2,6,t,r,s,d,0,0,0,0,0,0,0,2
241,1022710,85,7,6,t,r,s,d,0,0,0,0,0,0,0,3
242,724285,5,4,4,o,w,s,d,0,0,0,0,1,1,0,2
243,14451,35,4,5,t,r,t,d,0,0,0,0,0,0,0,2
244,841664,10,5,5,t,r,s,d,0,0,0,0,0,0,0,3
245,27947,20,6,5,n,r,s,d,0,0,0,0,0,0,0,3
246,207750,20,4,5,t,r,s,d,0,0,0,0,0,0,0,3
247,64707,30,4,6,t,r,s,d,0,0,0,0,0,0,0,2
248,920565,0,20,7,t,i,s,d,0,0,0,0,0,0,0,1
249,145522,15,7,6,t,r,s,d,1,0,0,0,0,0,0,2
250,568881,20,3,7,t,r,s,d,0,0,0,0,0,0,0,2
251,118080,60,10,7,t,r,j,d,1,0,0,1,1,1,0,3
252,75283,5,4,3,t,r,s,d,0,0,0,0,0,0,0,2
253,604893,5,9,5,t,r,t,d,0,0,0,0,0,0,0,3
254,627420,20,6,7,t,r,s,d,0,0,0,0,0,0,0,3
255,536831,65,5,5,t,r,s,d,0,0,0,0,1,0,0,2
256,35282,15,8,7,n,r,s,d,1,1,0,0,0,0,0,3
257,102240,25,8,3,t,r,s,d,0,0,0,0,0,0,0,2
258,510669,15,9,4,n,r,s,d,0,0,0,0,0,0,0,3
259,181389,15,6,8,t,r,s,d,0,0,0,0,0,0,0,2
260,117107,10,6,7,t,r,s,d,0,0,0,0,0,0,0,2
261,566877,10,10,3,n,u,t,d,0,0,0,0,0,0,0,2
262,747500,5,16,9,t,i,j,d,0,0,0,0,0,0,0,1
263,343704,20,6,6,t,r,s,d,0,0,0,0,0,0,0,2
264,524021,35,24,8,t,r,t,d,0,0,0,1,0,0,0,3
265,698407,10,4,5,t,r,s,d,0,0,0,0,0,0,0,3
266,927743,50,5,3,t,r,s,d,0,0,0,0,0,0,0,3
267,618404,10,5,4,t,w,s,d,0,0,0,0,1,1,0,2
268,259577,15,5,5,t,r,s,d,1,0,0,1,1,0,0,2
269,729715,25,7,5,t,r,s,d,1,0,0,0,0,0,0,2
270,545313,25,6,8,t,r,s,d,0,0,0,0,1,0,0,3
271,884932,15,11,3,t,r,s,d,0,0,0,0,0,0,0,1
272,258239,15,3,5,t,r,t,d,0,0,0,0,0,0,0,3
273,887647,25,7,8,t,r,t,d,0,0,0,0,0,0,0,2
274,1049790,15,16,5,t,r,s,d,0,0,0,1,0,0,0,2
275,460282,30,34,3,t,r,s,d,0,0,0,1,0,0,0,2
276,233499,10,11,10,t,i,j,d,0,0,0,0,0,0,0,2
277,453454,20,11,6,n,r,j,d,0,0,0,0,0,0,0,3
278,432609,0,4,3,t,w,s,d,0,0,0,0,1,0,0,1
279,597468,15,13,6,n,u,s,d,0,0,1,0,0,0,0,2
280,1037193,5,8,8,n,u,s,d,0,0,0,0,1,0,0,1
281,89827,0,9,5,t,r,s,d,0,0,0,0,0,0,0,2
282,980021,5,8,3,t,r,t,d,1,0,0,1,1,0,0,3
283,290507,80,9,7,t,r,t,u,0,0,0,0,0,0,0,3
284,988369,40,10,5,t,r,s,d,1,0,0,0,0,0,0,2
285,476996,40,7,6,n,r,s,d,0,0,0,0,0,0,0,2
286,771061,35,9,4,t,r,s,d,0,0,0,0,0,0,0,1
287,65257,5,7,5,t,r,t,d,0,0,0,1,0,0,0,3
288,1038852,10,8,2,t,r,s,d,0,0,0,0,0,0,0,2
289,47497,30,6,9,t,r,t,d,1,0,0,1,0,0,0,3
290,512246,5,5,5,t,r,s,d,0,0,0,0,1,0,0,2
291,790159,25,6,4,n,r,s,d,0,0,0,0,0,0,0,2
292,838560,15,4,5,n,r,s,q,0,0,0,0,1,0,0,2
293,385005,25,8,4,t,r,s,d,0,0,0,0,1,1,0,2
294,1049470,0,6,5,t,r,s,d,0,0,0,1,0,0,0,3
295,511746,10,9,2,t,r,s,d,0,0,0,0,1,0,0,2
296,464443,15,5,6,n,r,s,d,0,0,0,0,0,0,0,2
297,961808,20,11,6,t,r,s,d,0,0,0,0,0,0,0,2
298,270841,10,5,5,n,r,s,d,1,0,0,1,1,0,0,3
299,564897,0,5,4,o,r,s,d,0,0,0,0,0,0,0,2
300,854364,5,5,4,t,r,s,d,0,0,0,0,1,0,0,3
301,457460,15,9,8,t,r,s,d,0,0,0,0,0,0,0,3
302,915464,30,5,7,t,r,t,d,0,0,0,0,1,1,0,3
303,968137,20,5,3,t,r,j,d,1,0,0,0,1,0,0,3
304,462457,40,12,5,n,r,s,d,0,0,0,0,0,0,0,2
305,996470,40,2,6,t,r,s,d,0,0,0,0,1,0,0,3
306,423322,5,1,2,t,w,s,d,0,0,0,0,1,0,0,1
307,192894,15,6,5,t,r,s,d,0,0,0,0,0,0,0,3
308,653339,25,6,3,n,r,s,d,0,0,0,0,1,1,0,2
309,83653,5,12,3,t,u,j,d,0,0,0,0,0,0,0,2
310,898324,15,9,3,t,u,t,d,0,0,0,0,0,0,0,1
311,799072,0,10,10,t,i,t,d,0,0,0,0,0,0,0,1
312,822274,5,9,5,n,r,j,d,0,0,0,0,0,0,0,3
313,975397,25,5,4,t,r,s,d,0,0,0,0,0,0,0,2
314,15665,5,20,13,t,i,s,d,0,0,0,0,0,0,0,1
315,354594,30,8,7,t,r,s,d,0,0,0,0,0,0,0,2
316,374000,15,15,6,n,i,s,d,0,0,1,0,0,0,0,1
317,563238,25,12,7,t,r,j,d,0,0,0,1,0,0,0,2
318,793945,0,16,7,n,r,s,d,0,0,0,0,0,0,0,2
319,5479,15,7,7,t,r,s,d,0,0,0,0,0,0,0,3
320,1005258,5,7,5,t,r,s,d,0,0,0,0,0,0,0,2
321,639564,15,9,7,t,r,t,d,0,0,0,0,1,0,0,2
322,265691,5,6,7,t,r,s,d,0,0,0,0,1,0,0,2
323,226736,20,8,4,t,r,s,d,0,0,0,0,0,0,0,2
324,737045,190,6,7,t,r,s,d,0,0,0,0,0,0,0,3
325,912541,10,8,8,t,r,s,d,0,0,0,0,0,0,0,2
326,908776,25,7,4,t,r,s,d,0,0,0,0,0,0,0,2
327,551411,10,4,4,t,r,s,d,0,0,0,0,0,0,0,2
328,346645,0,8,7,t,r,s,d,0,0,0,0,0,0,0,3
329,964928,0,7,5,t,u,s,d,0,0,0,0,0,0,0,1
330,257919,10,9,5,n,w,s,d,0,0,0,0,1,0,0,1
331,133998,0,4,5,t,r,s,d,0,0,0,0,1,0,0,2
332,194930,20,10,5,t,r,t,d,0,0,0,0,1,0,0,2
333,903580,10,6,3,t,w,s,d,0,0,0,0,1,0,0,2
334,362767,5,5,6,t,r,s,d,0,0,0,0,0,0,0,2
335,719207,5,4,2,t,r,s,d,0,0,0,0,0,0,0,3
336,843540,30,7,7,t,r,t,d,1,0,0,0,0,0,0,2
337,384055,20,7,7,n,r,s,d,1,0,0,0,0,0,0,3
338,925729,0,12,3,n,u,s,d,0,0,0,0,0,0,0,1
339,859958,15,7,6,t,r,s,d,0,0,0,0,0,0,0,2
340,143041,40,14,5,t,r,t,d,0,0,0,0,0,0,0,3
341,888374,10,5,4,t,r,s,d,0,0,0,0,1,0,0,1
342,525359,20,5,5,t,r,s,d,0,0,0,0,0,0,0,2
343,11718,10,10,3,t,r,t,u,0,0,0,1,0,0,0,2
344,259925,0,6,3,t,u,t,q,0,0,0,0,0,0,0,2
345,285746,10,4,4,t,r,s,d,0,0,0,0,0,0,0,2
346,514265,15,16,7,t,i,t,d,0,0,0,0,0,0,0,2
347,903361,15,7,7,t,r,j,d,0,0,0,0,0,0,0,2
348,696371,15,4,3,t,r,s,d,0,0,0,0,1,0,0,1
349,936264,10,5,3,t,r,s,d,0,0,0,1,0,0,0,2
350,865603,30,26,7,n,r,s,d,0,0,0,0,0,0,0,3
351,776026,15,7,4,o,r,s,d,0,0,0,0,0,0,0,3
352,749317,5,6,5,t,r,t,d,0,0,0,0,0,0,0,3
353,979466,20,9,5,t,r,t,q,0,0,0,0,0,0,0,3
354,1036570,15,8,9,t,r,t,d,0,0,0,0,0,0,0,3
355,950437,25,11,6,t,r,s,d,0,0,0,0,0,0,0,3
356,172998,5,8,6,t,r,s,d,0,0,0,0,0,0,0,2
357,246270,10,5,4,t,r,s,d,0,0,0,0,0,0,0,2
358,826011,20,7,6,t,r,s,d,0,0,0,0,0,0,0,3
359,884517,5,15,8,t,r,s,d,0,0,0,0,0,0,0,3
360,394060,45,6,6,n,r,s,d,1,0,0,0,0,0,0,3
361,602392,15,5,5,t,w,s,d,0,0,0,0,1,0,0,2
362,363074,0,12,3,t,r,s,u,0,0,0,0,0,0,0,1
363,637782,25,7,5,t,r,t,d,0,0,0,0,0,0,0,2
364,818888,15,6,8,n,r,s,d,0,1,0,0,1,1,0,2
365,692413,50,12,4,n,r,s,d,0,0,0,0,1,0,0,2
366,334390,10,4,5,t,r,s,d,0,0,0,0,0,0,0,2
367,872438,45,6,4,t,r,s,d,0,0,0,0,1,0,0,2
368,34714,25,4,4,t,r,t,d,0,0,0,0,1,0,0,2
369,204676,20,11,8,n,r,s,d,0,0,0,0,0,0,0,3
370,670830,15,20,7,n,u,s,d,0,0,0,0,0,0,0,2
371,294272,20,6,6,n,r,s,d,0,0,0,0,1,1,0,2
372,121645,25,18,8,t,r,s,d,1,0,0,0,0,0,0,2
373,679111,0,12,4,t,r,s,d,0,0,0,0,0,0,0,1
374,5373,20,5,5,t,r,t,d,1,0,0,0,0,0,0,2
375,175764,35,3,5,t,r,t,d,0,0,0,0,0,0,0,3
376,1037250,50,8,6,n,r,s,d,1,0,0,0,1,0,0,2
377,258072,30,10,8,t,r,s,d,0,0,0,0,0,0,0,3
378,376403,15,10,9,n,r,s,d,0,0,0,0,0,0,0,3
379,810700,25,6,4,n,r,s,d,0,0,0,0,0,0,0,3
380,406694,25,7,2,t,r,s,d,0,0,0,0,0,0,0,2
381,799900,10,4,4,t,r,s,d,0,0,0,0,0,0,0,2
382,366012,20,5,7,t,r,s,d,0,0,0,0,0,0,0,2
383,569940,10,9,4,n,r,s,d,0,1,0,0,0,0,0,2
384,410519,10,8,6,t,r,s,d,0,0,0,0,0,0,0,3
385,170930,35,11,5,t,r,s,d,1,0,0,0,0,0,0,3
386,435557,995,12,5,t,r,s,d,0,0,0,0,1,0,0,2
387,421977,5,6,4,t,r,s,d,0,0,0,0,0,0,0,3
388,786375,10,6,4,n,r,s,d,0,0,0,0,0,0,0,3
389,12966,25,5,7,n,r,s,d,0,0,0,0,1,0,0,2
390,959547,20,6,4,t,r,s,d,0,0,0,0,0,0,0,1
